LAT LON P
37.975 -81.975 0.5
37.975 -81.925 0.5
37.975 -81.875 0.5
37.975 -81.82499999999999 0.5
37.975 -81.77499999999999 0.5
37.975 -81.725 0.5
37.975 -81.675 0.5
37.975 -81.625 0.5
37.975 -81.57499999999999 0.5
37.975 -81.52499999999999 0.5
37.975 -81.475 0.5
37.975 -81.425 0.5
37.975 -81.375 0.5
37.975 -81.32499999999999 0.5
37.975 -81.27499999999999 0.5
37.975 -81.225 0.5
37.975 -81.175 0.5
37.975 -81.125 0.5
37.975 -81.07499999999999 0.5001977066034006
37.975 -81.02499999999999 0.5006073624262666
37.975 -80.975 0.5006073624262666
37.975 -80.925 0.5010061250934705
37.975 -80.875 0.5010061250934705
37.975 -80.82499999999999 0.5010061250934705
37.975 -80.77499999999999 0.5012068467199348
37.975 -80.725 0.5012068467199348
37.975 -80.675 0.5012068467199348
37.975 -80.625 0.501408376990233
37.975 -80.57499999999999 0.5016110504649259
37.975 -80.52499999999999 0.5016013473315242
37.975 -80.475 0.5016013473315242
37.975 -80.425 0.5016013473315242
37.975 -80.375 0.5016013473315242
37.975 -80.32499999999999 0.5016013473315242
37.975 -80.27499999999999 0.5013999798259696
37.975 -80.225 0.5011966464996426
37.975 -80.175 0.5009939721497709
37.975 -80.125 0.5010370328995226
37.975 -80.07499999999999 0.5008355019575178
37.975 -80.02499999999999 0.5006377957755327
37.975 -79.975 0.5006377957755327
37.975 -79.925 0.5004404016033149
37.975 -79.875 0.500243783520234
37.975 -79.82499999999999 0.500243783520234
37.975 -79.77499999999999 0.500243783520234
37.975 -79.725 0.5
37.975 -79.675 0.5
37.975 -79.625 0.5
37.975 -79.57499999999999 0.5
37.975 -79.52499999999999 0.5
37.975 -79.475 0.5
37.975 -79.425 0.5
37.975 -79.375 0.5
37.975 -79.32499999999999 0.5
37.975 -79.27499999999999 0.5
37.975 -79.225 0.5
37.975 -79.175 0.5
37.975 -79.125 0.5
37.975 -79.07499999999999 0.5
37.975 -79.02499999999999 0.5
37.925000000000004 -81.975 0.5
37.925000000000004 -81.925 0.5
37.925000000000004 -81.875 0.5
37.925000000000004 -81.82499999999999 0.5
37.925000000000004 -81.77499999999999 0.5
37.925000000000004 -81.725 0.5
37.925000000000004 -81.675 0.5
37.925000000000004 -81.625 0.5
37.925000000000004 -81.57499999999999 0.5
37.925000000000004 -81.52499999999999 0.5
37.925000000000004 -81.475 0.5
37.925000000000004 -81.425 0.5
37.925000000000004 -81.375 0.5
37.925000000000004 -81.32499999999999 0.5
37.925000000000004 -81.27499999999999 0.5002130379207499
37.925000000000004 -81.225 0.5006754344735512
37.925000000000004 -81.175 0.5006754344735512
37.925000000000004 -81.125 0.5010734207351532
37.925000000000004 -81.07499999999999 0.5012708140520753
37.925000000000004 -81.02499999999999 0.5012708140520753
37.925000000000004 -80.975 0.5014715351519969
37.925000000000004 -80.925 0.5012068467199348
37.925000000000004 -80.875 0.501408376990233
37.925000000000004 -80.82499999999999 0.502021247759986
37.925000000000004 -80.77499999999999 0.5022269207331176
37.925000000000004 -80.725 0.5024355102836486
37.925000000000004 -80.675 0.5026425442911486
37.925000000000004 -80.625 0.5026425442911486
37.925000000000004 -80.57499999999999 0.5026425442911486
37.925000000000004 -80.52499999999999 0.5026425442911486
37.925000000000004 -80.475 0.5026425442911486
37.925000000000004 -80.425 0.5026425442911486
37.925000000000004 -80.375 0.5028863203738112
37.925000000000004 -80.32499999999999 0.5026777327466061
37.925000000000004 -80.27499999999999 0.5022578370364832
37.925000000000004 -80.225 0.5022578370364832
37.925000000000004 -80.175 0.5022578370364832
37.925000000000004 -80.125 0.5022578370364832
37.925000000000004 -80.07499999999999 0.5026285504623406
37.925000000000004 -80.02499999999999 0.5026285504623406
37.925000000000004 -79.975 0.5024228790256147
37.925000000000004 -79.925 0.5014114156406272
37.925000000000004 -79.875 0.5012098853767426
37.925000000000004 -79.82499999999999 0.5012098853767426
37.925000000000004 -79.77499999999999 0.5010124919499753
37.925000000000004 -79.725 0.5008158744321353
37.925000000000004 -79.675 0.5008158744321353
37.925000000000004 -79.625 0.5008158744321353
37.925000000000004 -79.57499999999999 0.5008158744321353
37.925000000000004 -79.52499999999999 0.5008158744321353
37.925000000000004 -79.475 0.5005720913670496
37.925000000000004 -79.425 0.5002871912693855
37.925000000000004 -79.375 0.5
37.925000000000004 -79.32499999999999 0.5
37.925000000000004 -79.27499999999999 0.5
37.925000000000004 -79.225 0.5
37.925000000000004 -79.175 0.5
37.925000000000004 -79.125 0.5
37.925000000000004 -79.07499999999999 0.5
37.925000000000004 -79.02499999999999 0.5
37.875 -81.975 0.5
37.875 -81.925 0.5
37.875 -81.875 0.5
37.875 -81.82499999999999 0.5
37.875 -81.77499999999999 0.5
37.875 -81.725 0.5
37.875 -81.675 0.5
37.875 -81.625 0.5
37.875 -81.57499999999999 0.5
37.875 -81.52499999999999 0.5005758288905345
37.875 -81.475 0.5005758288905345
37.875 -81.425 0.5007888664241927
37.875 -81.375 0.5007888664241927
37.875 -81.32499999999999 0.501511343178183
37.875 -81.27499999999999 0.5019486676131134
37.875 -81.225 0.5021452824928284
37.875 -81.175 0.5023426729186513
37.875 -81.125 0.5025433907361283
37.875 -81.07499999999999 0.5025433907361283
37.875 -81.02499999999999 0.502640648995345
37.875 -80.975 0.5034608990744605
37.875 -80.925 0.5034608990744605
37.875 -80.875 0.5036679278990331
37.875 -80.82499999999999 0.503889841554019
37.875 -80.77499999999999 0.5036203149582794
37.875 -80.725 0.5036203149582794
37.875 -80.675 0.5035790343354617
