LAT LON P
37.975 -81.975 0.0
37.975 -81.925 0.0
37.975 -81.875 0.0
37.975 -81.82499999999999 0.0
37.975 -81.77499999999999 0.0
37.975 -81.725 0.0
37.975 -81.675 0.0
37.975 -81.625 0.0
37.975 -81.57499999999999 0.0
37.975 -81.52499999999999 0.0
37.975 -81.475 0.0
37.975 -81.425 0.0
37.975 -81.375 0.0
37.975 -81.32499999999999 0.0
37.975 -81.27499999999999 0.0
37.975 -81.225 0.0
37.975 -81.175 0.0
37.975 -81.125 0.0
37.975 -81.07499999999999 0.0
37.975 -81.02499999999999 0.0
37.975 -80.975 0.0
37.975 -80.925 0.0
37.975 -80.875 0.0
37.975 -80.82499999999999 0.0
37.975 -80.77499999999999 0.0
37.975 -80.725 0.0
37.975 -80.675 0.0
37.975 -80.625 0.0
37.975 -80.57499999999999 0.0
37.975 -80.52499999999999 0.0
37.975 -80.475 0.0
37.975 -80.425 0.0
37.975 -80.375 0.0
37.975 -80.32499999999999 0.0
37.975 -80.27499999999999 0.0
37.975 -80.225 0.0
37.975 -80.175 0.0
37.975 -80.125 0.0
37.975 -80.07499999999999 0.0
37.975 -80.02499999999999 0.0
37.975 -79.975 0.0
37.975 -79.925 0.0
37.975 -79.875 0.0
37.975 -79.82499999999999 0.0
37.975 -79.77499999999999 0.0
37.975 -79.725 0.0
37.975 -79.675 0.0
37.975 -79.625 0.0
37.975 -79.57499999999999 0.0
37.975 -79.52499999999999 0.0
37.975 -79.475 0.0
37.975 -79.425 0.0
37.975 -79.375 0.0
37.975 -79.32499999999999 0.0
37.975 -79.27499999999999 0.0
37.975 -79.225 0.0
37.975 -79.175 0.0
37.975 -79.125 0.0
37.975 -79.07499999999999 0.0
37.975 -79.02499999999999 0.0
37.925000000000004 -81.975 0.0
37.925000000000004 -81.925 0.0
37.925000000000004 -81.875 0.0
37.925000000000004 -81.82499999999999 0.0
37.925000000000004 -81.77499999999999 0.0
37.925000000000004 -81.725 0.0
37.925000000000004 -81.675 0.0
37.925000000000004 -81.625 0.0
37.925000000000004 -81.57499999999999 0.0
37.925000000000004 -81.52499999999999 0.0
37.925000000000004 -81.475 0.0
37.925000000000004 -81.425 0.0
37.925000000000004 -81.375 0.0
37.925000000000004 -81.32499999999999 0.0
37.925000000000004 -81.27499999999999 0.0
37.925000000000004 -81.225 0.0
37.925000000000004 -81.175 0.0
37.925000000000004 -81.125 0.0
37.925000000000004 -81.07499999999999 0.0
37.925000000000004 -81.02499999999999 0.0
37.925000000000004 -80.975 0.0
37.925000000000004 -80.925 0.0
37.925000000000004 -80.875 0.0
37.925000000000004 -80.82499999999999 0.0
37.925000000000004 -80.77499999999999 0.0
37.925000000000004 -80.725 0.0
37.925000000000004 -80.675 0.0
37.925000000000004 -80.625 0.0
37.925000000000004 -80.57499999999999 0.0
37.925000000000004 -80.52499999999999 0.0
37.925000000000004 -80.475 0.0
37.925000000000004 -80.425 0.0
37.925000000000004 -80.375 0.0
37.925000000000004 -80.32499999999999 0.0
37.925000000000004 -80.27499999999999 0.0
37.925000000000004 -80.225 0.0
37.925000000000004 -80.175 0.0
37.925000000000004 -80.125 0.0
37.925000000000004 -80.07499999999999 0.0
37.925000000000004 -80.02499999999999 0.0
37.925000000000004 -79.975 0.0
37.925000000000004 -79.925 0.0
37.925000000000004 -79.875 0.0
37.925000000000004 -79.82499999999999 0.0
37.925000000000004 -79.77499999999999 0.0
37.925000000000004 -79.725 0.0
37.925000000000004 -79.675 0.0
37.925000000000004 -79.625 0.0
37.925000000000004 -79.57499999999999 0.0
37.925000000000004 -79.52499999999999 0.0
37.925000000000004 -79.475 0.0
37.925000000000004 -79.425 0.0
37.925000000000004 -79.375 0.0
37.925000000000004 -79.32499999999999 0.0
37.925000000000004 -79.27499999999999 0.0
37.925000000000004 -79.225 0.0
37.925000000000004 -79.175 0.0
37.925000000000004 -79.125 0.0
37.925000000000004 -79.07499999999999 0.0
37.925000000000004 -79.02499999999999 0.0
37.875 -81.975 0.0
37.875 -81.925 0.0
37.875 -81.875 0.0
37.875 -81.82499999999999 0.0
37.875 -81.77499999999999 0.0
37.875 -81.725 0.0
37.875 -81.675 0.0
37.875 -81.625 0.0
37.875 -81.57499999999999 0.0
37.875 -81.52499999999999 0.0
37.875 -81.475 0.0
37.875 -81.425 0.0
37.875 -81.375 0.0
37.875 -81.32499999999999 0.0
37.875 -81.27499999999999 0.0
37.875 -81.225 0.0
37.875 -81.175 0.0
37.875 -81.125 0.0
37.875 -81.07499999999999 0.0
37.875 -81.02499999999999 0.0
37.875 -80.975 0.0
37.875 -80.925 0.0
37.875 -80.875 0.0
37.875 -80.82499999999999 0.0
37.875 -80.77499999999999 0.0
37.875 -80.725 0.0
37.875 -80.675 0.0
37.875 -80.625 0.0
37.875 -80.57499999999999 0.0
37.875 -80.52499999999999 0.0
37.875 -80.475 0.0
37.875 -80.425 0.0
37.875 -80.375 0.0
37.875 -80.32499999999999 0.0
37.875 -80.27499999999999 0.0
37.875 -80.225 0.0
37.875 -80.175 0.0
37.875 -80.125 0.0
37.875 -80.07499999999999 0.0
37.875 -80.02499999999999 0.0
37.875 -79.975 0.0
37.875 -79.925 0.0
37.875 -79.875 0.0
37.875 -79.82499999999999 0.0
37.875 -79.77499999999999 0.0
37.875 -79.725 0.0
37.875 -79.675 0.0
37.875 -79.625 0.0
37.875 -79.57499999999999 0.0
37.875 -79.52499999999999 0.0
37.875 -79.475 0.0
37.875 -79.425 0.0
37.875 -79.375 0.0
37.875 -79.32499999999999 0.0
37.875 -79.27499999999999 0.0
